icb_name,,anxiety,happiness,life_satisfaction,worthwhile
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTE,CAMBRIDGESHIRE AND PETERBOROUGH INTE,3.21,7.46,7.56,7.84
"NHS BATH AND NORTH EAST SOMERSET, SWINDO","BATH AND NORTH EAST SOMERSET, SWINDO",3.48,7.28,7.29,7.57
NHS DORSET INTEGRATED CARE BOARD,DORSET INTEGRATED CARE BOARD,3.15,7.66,7.76,7.98
NHS GLOUCESTERSHIRE INTEGRATED CARE BOAR,GLOUCESTERSHIRE INTEGRATED CARE BOAR,3.21,7.38,7.5,7.74
NHS DEVON INTEGRATED CARE BOARD,DEVON INTEGRATED CARE BOARD,3.1,7.64,7.63,7.88
NHS COVENTRY AND WARWICKSHIRE INTEGRATED,COVENTRY AND WARWICKSHIRE INTEGRATED,3.3,7.41,7.59,7.77
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRAT,HAMPSHIRE AND ISLE OF WIGHT INTEGRAT,3.05,7.4,7.4,7.68
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEG","SHROPSHIRE, TELFORD AND WREKIN INTEG",3.29,7.48,7.49,7.84
NHS SOUTH YORKSHIRE INTEGRATED CARE BOAR,SOUTH YORKSHIRE INTEGRATED CARE BOAR,2.98,7.56,7.74,8.01
NHS SUSSEX INTEGRATED CARE BOARD,SUSSEX INTEGRATED CARE BOARD,3.44,7.4,7.49,7.73
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRA,LANCASHIRE AND SOUTH CUMBRIA INTEGRA,2.96,7.51,7.64,7.92
NHS NORTH EAST AND NORTH CUMBRIA INTEGRA,NORTH EAST AND NORTH CUMBRIA INTEGRA,3.31,7.27,7.36,7.68
NHS SOMERSET INTEGRATED CARE BOARD,SOMERSET INTEGRATED CARE BOARD,3.15,7.5,7.59,7.93
NHS GREATER MANCHESTER INTEGRATED CARE B,GREATER MANCHESTER INTEGRATED CARE B,3.52,7.12,7.12,7.53
NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,BIRMINGHAM AND SOLIHULL INTEGRATED C,3.54,7.16,7.2,7.7
NHS BLACK COUNTRY INTEGRATED CARE BOARD,BLACK COUNTRY INTEGRATED CARE BOARD,3.2,7.29,7.47,7.75
NHS NORTH EAST LONDON INTEGRATED CARE BO,NORTH EAST LONDON INTEGRATED CARE BO,3.17,7.87,7.35,7.84
NHS WEST YORKSHIRE INTEGRATED CARE BOARD,WEST YORKSHIRE INTEGRATED CARE BOARD,3,7.41,7.37,7.74
NHS HUMBER AND NORTH YORKSHIRE INTEGRATE,HUMBER AND NORTH YORKSHIRE INTEGRATE,3.36,7.24,7.32,7.67
NHS STAFFORDSHIRE AND STOKE-ON-TRENT INT,STAFFORDSHIRE AND STOKE-ON-TRENT INT,3.48,7.24,7.4,7.71
